SeqID	crossvalidated_tax
Acetitomaculum_Species_FJ834031;tax=d_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Acetitomaculum,s_Acetitomaculum_Species;	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetitomaculum;Acetitomaculum_Species
Bacillus_Species_FJ380150;tax=d_Bacteria,p_Firmicutes,c_Bacilli,o_Bacillales,f_Bacillaceae,g_Bacillus,s_Bacillus_Species;	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_Species
Bacillus_galactosidilyticus_AJ535638_TS;tax=d_Bacteria,p_Firmicutes,c_Bacilli,o_Bacillales,f_Bacillaceae,g_Bacillus,s_Bacillus_galactosidilyticus;	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;[amb]Bacillus galactosidilyticus
Brachybacterium_alimentarium_X91031_TS;tax=d_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Dermabacteraceae,g_Brachybacterium,s_Brachybacterium_alimentarium;	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermabacteraceae;Brachybacterium;[amb]Brachybacterium alimentarium
Desulfomonile_limimaris_JQ770032;tax=d_Bacteria,p_Proteobacteria,c_Deltaproteobacteria,o_Syntrophobacterales,f_Syntrophaceae,g_Desulfomonile,s_Desulfomonile_limimaris;	Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;Desulfomonile;Desulfomonile limimaris
Draconibacterium_Species_AY570569;tax=d_Bacteria,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Prolixibacteraceae,g_Draconibacterium,s_Draconibacterium_Species;	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prolixibacteraceae;Draconibacterium;Draconibacterium_Species
Finegoldia_magna_KC333937;tax=d_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Peptoniphilaceae,g_Finegoldia,s_Finegoldia_magna;	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptoniphilaceae;Finegoldia;Finegoldia magna
Gilvimarinus_polysaccharolyticus_AACY023784545;tax=d_Bacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Cellvibrionales,f_Cellvibrionaceae,g_Gilvimarinus,s_Gilvimarinus_polysaccharolyticus;	Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Gilvimarinus;Gilvimarinus polysaccharolyticus
Haliangium_tepidum_AJ233944_TS;tax=d_Bacteria,p_Proteobacteria,c_Deltaproteobacteria,o_Myxococcales,f_Haliangiaceae,g_Haliangium,s_Haliangium_tepidum;	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Haliangiaceae;Haliangium;Haliangium tepidum
Klebsiella_Species_A4_KC434961;tax=d_Bacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Enterobacteriales,f_Enterobacteriaceae,g_Klebsiella,s_Klebsiella_Species_A4;	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Klebsiella;Klebsiella_Species_A4
Kocuria_kristinae_X80749_TS;tax=d_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Micrococcaceae,g_Kocuria,s_Kocuria_kristinae;	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria;Kocuria kristinae
Lactobacillus_agilis_AB596945_TS;tax=d_Bacteria,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Lactobacillaceae,g_Lactobacillus,s_Lactobacillus_agilis;	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus agilis
Lactobacillus_algidus_AB033209_TS;tax=d_Bacteria,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Lactobacillaceae,g_Lactobacillus,s_Lactobacillus_algidus;	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus algidus
Lactobacillus_alimentarius_M58804_TS;tax=d_Bacteria,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Lactobacillaceae,g_Lactobacillus,s_Lactobacillus_alimentarius;	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;[amb]Lactobacillus alimentarius
Lactobacillus_amylolyticus_FR683095_TS;tax=d_Bacteria,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Lactobacillaceae,g_Lactobacillus,s_Lactobacillus_amylolyticus;	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;[amb]Lactobacillus amylolyticus
Lactobacillus_amylophilus_AB680988_TS;tax=d_Bacteria,p_Firmicutes,c_Bacilli,o_Lactobacillales,f_Lactobacillaceae,g_Lactobacillus,s_Lactobacillus_amylophilus;	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus amylophilus
Leptotrichia_goodfellowii_JQ467377;tax=d_Bacteria,p_Fusobacteria,c_Fusobacteriia,o_Fusobacteriales,f_Leptotrichiaceae,g_Leptotrichia,s_Leptotrichia_goodfellowii;	Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;Leptotrichia goodfellowii
Leucobacter_luti_AM072819_TS;tax=d_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Leucobacter,s_Leucobacter_luti;	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;[amb]Leucobacter;[amb]Leucobacter luti
Microvirga_aerophila_JX133402;tax=d_Bacteria,p_Proteobacteria,c_Alphaproteobacteria,o_Rhizobiales,f_Methylobacteriaceae,g_Microvirga,s_Microvirga_aerophila;	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Microvirga;Microvirga aerophila
Novosphingobium_sediminicola_FJ177534_TS;tax=d_Bacteria,p_Proteobacteria,c_Alphaproteobacteria,o_Sphingomonadales,f_Sphingomonadaceae,g_Novosphingobium,s_Novosphingobium_sediminicola;	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;Novosphingobium sediminicola
Odoribacter_laneus_AB606328;tax=d_Bacteria,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Porphyromonadaceae,g_Odoribacter,s_Odoribacter_laneus;	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Odoribacter;Odoribacter laneus
